ID Key,Location,Department,Directorate,Cost Centre,Grade Name,FTE,End Date,Gender,Date of Birth,Pension Scheme,Termination Reason,Date Eligible for Retirement
43,PL,Plymouth Office,0,400,SEO,0,31/07/2015,M,19/06/1945,Other,RETIREMENT,19/06/2005
44,CR,CR CT1,0,100,AO,0,31/07/2016,M,09/12/1946,Other,RETIREMENT,09/12/2006
45,FY,Fylde,0,250,SEO+,0,28/02/2015,M,23/11/1947,Other,RETIREMENT,23/11/2007
46,CR,Croydon Office,0,100,HEO,0,30/11/2013,F,06/10/1947,Other,RETIREMENT,06/10/2007
47,CR,Central Ops Group,0,1445,G7,0,31/10/2013,M,23/04/1948,Other,RETIREMENT,23/04/2008
48,FY,Fylde,0,250,SEO,0,24/10/2013,F,01/02/1946,Other,RETIREMENT,01/02/2006
49,CV,Coventry Office,0,75,SEO,0,31/12/2014,M,28/07/1947,Other,RETIREMENT,28/07/2007
50,GL,Gloucester Office,0,175,EO,0,30/05/2013,M,17/01/1948,Other,RETIREMENT,17/01/2008
51,GL,Registration Services,Operations,1470,HEO,0.45,17/10/2021,F,04/04/1948,Alpha,RETIREMENT,17/10/2021
52,CR,CR CT3,0,100,HEO,0,31/01/2017,F,11/03/1948,Other,RETIREMENT,11/03/2008
53,GL,Gloucester Office,0,175,SEO,0,04/11/2015,M,21/09/1948,Other,RETIREMENT,21/09/2008
54,DM,Durham,0,150,SEO,0,25/11/2014,M,21/12/1949,Other,RETIREMENT,21/12/2009
55,CV,Coventry Office,0,75,SEO,0,30/01/2015,M,21/01/1949,Other,RETIREMENT,21/01/2009
56,NM,Registration Services,Operations,1470,HEO,0.49,31/01/2020,F,23/02/1950,Alpha,RETIREMENT,31/01/2020
57,HL,Hull Office,0,225,SEO,0,31/12/2013,M,11/01/1949,Other,RETIREMENT,11/01/2009
58,GL,Gloucester Office,0,175,HEO,0,31/07/2014,M,16/07/1949,Other,RETIREMENT,16/07/2009
59,PL,Plymouth Office,0,400,HEO,0,29/05/2015,M,18/01/1948,Other,RETIREMENT,18/01/2008
60,0,0,0,0,0,0,,M,10/07/1950,Other,,10/07/2010
61,WA,HR,0,1248,SEO+,0,31/07/2013,F,29/09/1949,Other,RETIREMENT,29/09/2009
62,PB,PB CT4,0,375,HEO,0,29/04/2016,M,06/04/1947,Other,RETIREMENT,06/04/2007
63,GL,Gloucester Office,0,175,HEO,0,31/03/2016,M,17/08/1949,Other,RETIREMENT,17/08/2009
64,GL,Registration Services,Operations,1470,HEO,0.43,,M,04/12/1948,Alpha,,
65,TF,TF CT3,0,500,HEO,0,31/03/2017,M,08/01/1949,Other,RETIREMENT,08/01/2009
66,BR,Registration Services,Operations,1470,SEO+,0.43,27/10/2021,M,19/02/1951,Alpha,RETIREMENT,06/02/2016
67,DM,Durham,0,150,SEO,0,31/12/2014,M,30/12/1949,Other,RETIREMENT,30/12/2009
68,LT,SENIOR CASEWORK TEAM,Operations,275,SEO,0,31/03/2018,M,24/03/1948,Other,RETIREMENT,24/03/2008
69,DM,Durham,0,150,HEO,0,26/09/2014,F,08/10/1951,Other,RETIREMENT,08/10/2011
70,DM,Durham,0,150,EO,0,30/06/2014,F,23/06/1954,Other,RETIREMENT,23/06/2014
71,NM,Registration Services,Operations,1470,SEO,0.45,,M,16/11/1953,Alpha,,06/11/2018
72,CV,Coventry Office,0,75,SEO,0,31/05/2013,M,26/05/1953,Other,RETIREMENT,26/05/2013
73,CV,Registration Services,Operations,1470,SEO,0.46,,M,03/03/1953,Alpha,,06/02/2018
74,NM,Registration Services,Operations,1470,HEO,0.57,01/03/2019,M,21/07/1951,Alpha,RETIREMENT,06/07/2016
75,NM,Registration Services,Operations,1470,HEO,0.49,31/03/2021,F,17/04/1952,Alpha,RETIREMENT,06/05/2014
76,0,0,0,0,0,0,,M,14/09/1951,Other,,14/09/2011
77,PL,Plymouth Office,0,400,HEO,0,31/01/2016,M,22/05/1951,Other,RETIREMENT,22/05/2011
78,FY,Fylde,0,250,SEO,0,12/08/2013,M,12/08/1953,Other,RETIREMENT,12/08/2013
79,DM,Customer Resolution Team,Operations,1420,HEO,0.53,,M,05/11/1951,Alpha,,06/10/2016
80,DM,Durham,0,150,SEO,0,28/02/2015,M,08/07/1950,Other,RETIREMENT,08/07/2010
81,NM,Registration Services,Operations,1470,HEO,0.49,,M,12/01/1952,Alpha,,06/01/2017
82,NM,NE CT13,0,325,HEO,0,27/09/2016,M,14/11/1951,Other,RETIREMENT,14/11/2011
83,NM,Nottingham Office,0,325,SEO,0,31/12/2015,M,10/08/1952,Other,RETIREMENT,10/08/2012
84,GL,Customer Resolution Team,Operations,1420,EO,0.43,09/03/2022,F,09/05/1951,Alpha,RETIREMENT,06/07/2012
85,CR,Customer Services,0,7630,HEO,0,30/04/2014,F,03/11/1952,Other,RETIREMENT,03/11/2012
86,DM,Programme and Project Management,Transformation,1570,SEO,0.61,31/12/2018,M,29/09/1952,Alpha,RETIREMENT,06/09/2017
87,CR,Finance Group,0,1360,EO,0,31/10/2014,M,27/09/1947,Other,RETIREMENT,27/09/2007
88,PB,Internal Solns Group,0,1848,HEO,0,15/05/2015,M,13/02/1952,Other,RETIREMENT,13/02/2012
89,0,0,0,0,0,0,,F,13/08/1950,Other,,13/08/2010
90,GL,Gloucester Office,0,175,HEO,0,30/04/2013,F,16/10/1953,Other,RETIREMENT,16/10/2013
91,LT,Leicester Office,0,275,HEO,0,17/07/2015,M,21/02/1953,Other,RETIREMENT,21/02/2013
92,HL,SENIOR CASEWORK TEAM,Operations,225,SEO,0,31/03/2018,M,13/12/1949,Other,RETIREMENT,13/12/2009
93,GL,Registration Services,Operations,1470,EO,0.43,31/12/2020,F,21/06/1945,Alpha,RETIREMENT,31/12/2020
94,GL,Gloucester Office,0,175,HEO,0,31/05/2015,M,28/07/1952,Other,RETIREMENT,28/07/2012
95,PL,Plymouth Office,0,400,HEO,0,31/10/2014,M,13/05/1953,Other,RETIREMENT,13/05/2013
96,PL,Plymouth Office,0,400,EO,0,02/06/2014,M,02/06/1954,Other,RETIREMENT,02/06/2014
97,PL,Registration Services,Operations,1470,EO,0.61,12/10/2018,M,12/10/1953,Alpha,RETIREMENT,06/10/2018
98,DM,Registration Services,Operations,1470,EO,0.57,09/10/2019,F,17/10/1947,Alpha,RETIREMENT,09/10/2019
99,DM,SENIOR CASEWORK TEAM,Operations,150,SEO,0,28/02/2018,M,10/06/1955,Other,RETIREMENT,10/06/2015
100,GL,Registration Services,Operations,1470,EO,0.43,,F,12/03/1956,Alpha,,05/02/2022
101,PL,Land Charges,Operations,725,HEO,0.43,30/04/2021,F,19/06/1955,Alpha,RETIREMENT,05/05/2021
102,PL,DDAT Service Management,DDat,1827,EO,0.57,,F,28/04/1953,Alpha,,06/07/2016
103,CV,Registration Services,Operations,1470,HEO,0.53,,F,24/05/1956,Alpha,,05/04/2022
104,CR,Registration Services,Operations,1470,HEO,0.58,11/01/2020,F,02/12/1954,Alpha,RETIREMENT,05/10/2020
105,GL,GL CT4,0,175,SEO,0,31/03/2017,F,14/08/1955,Other,RETIREMENT,14/08/2015
106,PL,IS Service Delivery,0,1860,SEO+,0,31/03/2014,M,22/06/1953,Other,RETIREMENT,22/06/2013
107,CV,SCT,0,75,SEO,0,12/07/2016,M,05/01/1953,Other,RETIREMENT,05/01/2013
108,PL,PH CT5,0,400,HEO,0,04/05/2016,M,21/03/1951,Other,RETIREMENT,21/03/2011
109,NM,NE CT3,0,325,HEO,0,15/09/2016,F,12/08/1952,Other,RETIREMENT,12/08/2012
110,GL,Gloucester Office,0,175,EO,0,30/04/2014,F,11/04/1954,Other,RETIREMENT,11/04/2014
111,GL,Gloucester Office,0,175,SEO,0,31/03/2015,M,23/02/1953,Other,RETIREMENT,23/02/2013
112,PL,PH CT1,0,400,EO,0,29/06/2016,F,11/06/1955,Other,RETIREMENT,11/06/2015
113,PL,Registration Services,Operations,1470,HEO,0.43,,M,13/03/1955,Alpha,,05/02/2021
114,PL,PH CT4,0,400,HEO,0,27/10/2016,M,10/07/1955,Other,RETIREMENT,10/07/2015
115,PL,Registration Services,Operations,1470,HEO,0.43,30/06/2019,F,24/06/1954,Alpha,RETIREMENT,06/03/2020
116,CV,Registration Services,Operations,1470,HEO,0.43,30/09/2021,F,29/10/1954,Alpha,RETIREMENT,05/09/2020
117,DM,HR Operations,Human Resources,1233,SEO+,0.46,31/01/2022,F,17/02/1952,Alpha,RETIREMENT,06/01/2014
118,DM,CCC1,Operations,150,EO,0,30/06/2017,F,17/06/1953,Other,RETIREMENT,17/06/2013
119,WA,Registration Services,Operations,1470,SEO,0.49,,M,15/05/1954,Alpha,,06/01/2020
120,0,0,0,0,0,0,,M,26/09/1952,Other,,26/09/2012
121,CR,Corporate Legal Services,Legal Services,1540,HEO,1,31/01/2019,M,18/03/1949,Alpha,RETIREMENT,31/01/2019
122,NM,Nottingham Office,0,325,HEO,0,01/07/2015,M,16/02/1950,Other,RETIREMENT,16/02/2010
123,PB,Corporate Assurance,0,1512,G7,0,04/12/2015,M,03/12/1955,Other,RETIREMENT,03/12/2015
124,GL,GL CT1,0,175,HEO,0,21/04/2017,M,20/04/1953,Other,RETIREMENT,20/04/2013
125,GL,Registration Services,Operations,1470,EO,0.43,31/12/2021,F,11/08/1946,Alpha,RETIREMENT,31/12/2021
126,GL,Registration Services,Operations,1470,HEO,0.6,28/06/2019,M,09/09/1948,Alpha,RETIREMENT,28/06/2019
127,TF,Registration Services,Operations,1470,HEO,0.43,30/10/2018,M,09/11/1953,Alpha,RETIREMENT,06/11/2018
128,0,0,0,0,0,0,,F,14/11/1952,Other,,14/11/2012
129,WA,Wales Office,0,550,SEO,0,30/11/2015,F,12/11/1955,Other,RETIREMENT,12/11/2015
130,GL,Gloucester Office,0,175,SEO,0,30/04/2015,M,17/10/1955,Other,RETIREMENT,17/10/2015
131,PL,IT Solutions,DDat,1817,SEO,1,31/10/2018,M,01/08/1955,Alpha,RETIREMENT,05/06/2021
132,FY,Registration Services,Operations,1470,EO,0.43,29/03/2022,F,21/10/1954,Alpha,RETIREMENT,05/09/2020
133,PL,Registration Services,Operations,1470,HEO,0.61,,M,14/03/1955,Alpha,,05/02/2021
134,PL,Internal Solns Group,0,1848,SEO,0,31/05/2015,F,24/05/1955,Other,RETIREMENT,24/05/2015
135,PL,Plymouth Office,0,400,HEO,0,15/12/2015,M,19/04/1950,Other,RETIREMENT,19/04/2010
136,GL,Gloucester Office,0,175,HEO,0,14/07/2015,M,13/07/1955,Other,RETIREMENT,13/07/2015
137,CV,CO CT2,Operations,75,HEO,0,28/03/2018,M,19/08/1952,Other,RETIREMENT,19/08/2012
138,PB,Registration Services,Operations,1470,SEO,0.65,,M,04/06/1955,Alpha,,05/04/2021
139,GL,Gloucester Office,0,175,EO,0,30/04/2013,M,27/02/1951,Other,RETIREMENT,27/02/2011
140,GL,GL CT5,Operations,175,EO,0,30/06/2017,M,15/07/1955,Other,RETIREMENT,15/07/2015
141,WY,Registration Services,Operations,1470,SEO,0.43,,M,03/03/1958,Alpha,,05/01/2024
142,PL,Registration Services,Operations,1470,EO,0.43,30/05/2019,F,29/05/1959,Alpha,RETIREMENT,05/04/2025
143,PL,Plymouth Office,0,400,EO,0,31/05/2015,F,09/05/1957,Other,RETIREMENT,09/05/2017
144,PB,Registration Services,Operations,1470,HEO,0.46,,M,01/07/1954,Alpha,,06/03/2020
145,TF,Telford Office,0,500,SEO,0,16/09/2013,M,21/02/1949,Other,RETIREMENT,21/02/2009
146,PL,Registration Services,Operations,1470,HEO,0.49,,M,04/05/1954,Alpha,,06/11/2019
147,DM,Durham,0,150,SCS1,0,31/12/2013,M,20/08/1946,Other,RETIREMENT,20/08/2006
148,NM,SCT,Operations,325,SEO,0,30/06/2017,F,07/03/1957,Other,RETIREMENT,07/03/2017
149,0,0,0,0,0,0,,F,07/05/1958,Other,,07/05/2018
150,WA,Registration Services,Operations,1470,SEO,0.49,,F,11/09/1957,Alpha,,05/08/2023
151,NM,BUSINESS CONTINUITY,0,2100,G7,0,30/06/2016,M,15/09/1955,Other,RETIREMENT,15/09/2015
152,GL,Gloucester Office,0,175,HEO,0,31/07/2015,M,05/05/1957,Other,RETIREMENT,05/05/2017
153,FY,Registration Services,Operations,1470,HEO,0.65,05/05/2018,F,05/05/1958,Alpha,RETIREMENT,05/03/2024
154,FY,Fylde,0,250,HEO,0,31/03/2016,M,04/02/1957,Other,RETIREMENT,04/02/2017
155,FY,FY P1,Operations,250,HEO,0,16/06/2017,M,16/06/1957,Other,RETIREMENT,16/06/2017
156,DM,Durham,0,150,SEO,0,30/04/2013,F,19/03/1957,Other,RETIREMENT,19/03/2017
157,GL,Registration Services,Operations,1470,SEO,0.49,,M,11/12/1957,Alpha,,05/11/2023
158,GL,Registration Services,Operations,1470,HEO,0.43,27/03/2020,M,14/10/1956,Alpha,RETIREMENT,05/09/2022
159,GL,Registration Services,Operations,1470,HEO,0.43,27/12/2019,F,10/09/1954,Alpha,RETIREMENT,06/09/2020
160,GL,Registration Services,Operations,1470,EO,0.49,,F,25/10/1957,Alpha,,05/09/2023
161,CR,Customer Resolution Team,Operations,1420,HEO,0.67,,M,23/04/1956,Alpha,,05/03/2022
162,LT,Leicester Office,0,275,HEO,0,30/11/2015,F,21/02/1957,Other,RETIREMENT,21/02/2017
163,0,0,0,0,0,0,,M,17/03/1958,Other,,17/03/2018
164,PB,Registration Services,Operations,1470,HEO,0.49,27/11/2019,F,21/07/1957,Alpha,RESIGNATION,05/06/2023
165,FY,FY P1,0,250,HEO,0,30/06/2016,M,08/10/1957,Other,RETIREMENT,08/10/2017
166,FY,Registration Services,Operations,1470,HEO,0.43,,M,18/10/1954,Alpha,,05/09/2020
167,LT,Registration Services,Operations,1470,HEO,0.43,12/06/2018,M,10/09/1950,Alpha,RETIREMENT,06/09/2015
168,DM,Customer Support Centre,Operations,1430,EO,0.49,,M,13/06/1956,Alpha,,05/05/2022
169,DM,Durham,0,150,HEO,0,09/04/2014,M,17/05/1951,Other,RETIREMENT,17/05/2011
170,GL,Registration Services,Operations,1470,HEO,0.46,,F,28/09/1954,Alpha,,06/09/2020
171,GL,Registration Services,Operations,1470,HEO,0.49,,M,10/01/1957,Alpha,,05/12/2022
172,DM,DM CT3,Operations,150,HEO,0,23/03/2018,F,06/03/1958,Other,RETIREMENT,06/03/2018
173,DM,DM CT5,0,150,EO,0,31/01/2017,M,22/01/1959,Other,RETIREMENT,22/01/2019
174,FY,Fylde,0,250,HEO,0,20/10/2015,F,20/10/1956,Other,RETIREMENT,20/10/2016
175,BR,Registration Services,Operations,1470,SEO,1,,F,11/08/1958,Alpha,,05/07/2024
176,PB,Registration Services,Operations,1470,SEO+,0.43,,M,24/08/1959,Alpha,,05/07/2025
177,BR,Registration Services,Operations,1470,SEO,0.53,30/04/2020,F,02/12/1956,Alpha,RETIREMENT,05/10/2022
178,FY,Registration Services,Operations,1470,HEO,0.43,,M,18/12/1957,Alpha,,05/11/2023
179,FY,Registration Services,Operations,1470,HEO,0.61,30/06/2021,F,02/06/1957,Alpha,RETIREMENT,05/04/2023
180,NM,Registration Services,Operations,1470,HEO,0.49,,F,29/05/1954,Alpha,,06/01/2020
181,0,0,0,0,0,0,,M,01/09/1957,Other,,01/09/2017
182,NM,Registration Services,Operations,1470,HEO,0.49,31/12/2019,M,12/10/1956,Alpha,RETIREMENT,05/09/2022
183,LT,Leicester Office,0,275,HEO,0,02/06/2015,F,16/06/1957,Other,RETIREMENT,16/06/2017
184,NM,NE CT13,Operations,325,HEO,0,22/09/2017,M,12/06/1953,Other,RETIREMENT,12/06/2013
185,0,0,0,0,0,0,,F,19/01/1958,Other,,19/01/2018
186,PL,Registration Services,Operations,1470,EO,0.53,,F,04/03/1959,Alpha,,05/01/2025
187,0,0,0,0,0,0,,F,03/03/1956,Other,,03/03/2016
188,DM,Registration Services,Operations,1470,SEO,0.43,,M,11/11/1958,Alpha,,05/10/2024
189,HL,Hull Office,0,225,SEO,0,07/01/2016,F,25/05/1959,Other,RETIREMENT,25/05/2019
190,DM,DM CT12,Operations,150,SEO,0,31/08/2017,F,28/01/1959,Other,RETIREMENT,28/01/2019
191,GL,Customer Resolution Team,Operations,1420,EO,0.43,,F,26/05/1959,Alpha,,05/04/2025
192,GL,Registration Services,Operations,1470,EO,0.49,03/07/2019,F,23/10/1956,Alpha,RETIREMENT,05/09/2022
193,TF,INTEGRITY TEAM,Operations,500,SEO,0,30/06/2017,F,02/07/1958,Other,RETIREMENT,02/07/2018
194,GL,Registration Services,Operations,1470,HEO,0.61,,M,12/05/1958,Alpha,,05/04/2024
195,DM,Central Operations,Operations,1445,EO,0.57,,M,30/08/1958,Alpha,,05/07/2024
196,LT,Registration Services,Operations,1470,HEO,0.49,,M,28/12/1956,Alpha,,05/11/2022
197,NM,Registration Services,Operations,1470,EO,0.57,,F,29/02/1956,Alpha,,05/01/2022
198,NM,Registration Services,Operations,1470,EO,0.49,,F,19/03/1957,Alpha,,05/02/2023
199,DM,OFFICIAL COPIES TEAM B,0,150,EO,0,31/05/2016,F,23/12/1958,Other,RETIREMENT,23/12/2018
200,TF,Registration Services,Operations,1470,SEO,0.49,31/08/2020,M,28/08/1957,Alpha,RESIGNATION,05/07/2023
201,DM,Customer Resolution Team,Operations,1420,HEO,0.46,,M,17/01/1959,Alpha,,05/12/2024
202,GL,SENIOR CASEWORK TEAM,Operations,175,SEO,0,31/03/2018,F,22/05/1953,Other,RETIREMENT,22/05/2013
203,WA,Registration Services,Operations,1470,EO,0.43,,F,25/05/1959,Alpha,,05/04/2025
204,WA,Registration Services,Operations,1470,HEO,0.43,,F,25/09/1958,Alpha,,05/08/2024
205,BR,Registration Services,Operations,1470,SEO,0.7,,M,01/05/1958,Alpha,,05/03/2024
206,FY,FY C5,Operations,250,HEO,0,07/07/2017,M,07/07/1957,Other,RETIREMENT,07/07/2017
207,FY,Registration Services,Operations,1470,HEO,1,02/05/2018,M,04/11/1958,Alpha,RETIREMENT,05/09/2024
208,NM,Registration Services,Operations,1470,EO,0.57,,F,05/04/1959,Alpha,,05/02/2025
209,NM,Registration Services,Operations,1470,HEO,0.43,,F,27/11/1957,Alpha,,05/10/2023
210,NM,Nottingham Office,0,325,HEO,0,30/09/2015,F,27/01/1960,Other,RETIREMENT,27/01/2020
211,FY,Registration Services,Operations,1470,HEO,0.43,30/06/2021,F,09/05/1960,Alpha,RETIREMENT,05/06/2026
212,0,0,0,0,0,0,,F,10/06/1958,Other,,10/06/2018
213,GL,Registration Services,Operations,1470,SEO+,0.57,30/04/2019,M,30/06/1960,Alpha,RETIREMENT,05/08/2026
214,FY,Registration Services,Operations,1470,HEO,0.46,,F,30/06/1959,Alpha,,05/05/2025
215,BR,Registration Services,Operations,1470,SEO,0.46,01/06/2021,M,24/11/1959,Alpha,RETIREMENT,05/10/2025
216,NM,Registration Services,Operations,1470,EO,0.45,,F,06/01/1958,Alpha,,05/12/2023
217,BR,Registration Services,Operations,1470,HEO,0.61,,M,19/12/1955,Alpha,,05/11/2021
218,GL,LOCAL LAWYER TEAM 6,0,1560,G7+,0,30/11/2016,M,12/05/1949,Other,RETIREMENT,12/05/2009
219,BR,Registration Services,Operations,1470,HEO,0.45,,F,17/02/1957,Alpha,,05/01/2023
220,CR,Croydon Office,0,100,HEO,0,25/02/2014,M,25/02/1949,Other,RETIREMENT,25/02/2009
221,WA,Registration Services,Operations,1470,SEO,0.45,,M,03/05/1958,Alpha,,05/03/2024
222,DM,GROUP 1,0,150,SEO,0,30/04/2016,M,26/04/1956,Other,RETIREMENT,26/04/2016
223,0,0,0,0,0,0,,M,23/04/1954,Other,,23/04/2014
224,WA,Registration Services,Operations,1470,HEO,1,,M,27/03/1958,Other,,27/03/2018
225,PL,Registration Services,Operations,1470,HEO,0.49,,M,08/04/1959,Alpha,,05/03/2025
226,PL,Plymouth Office,0,400,HEO,0,31/03/2015,F,06/10/1953,Other,RETIREMENT,06/10/2013
227,PL,Registration Services,Operations,1470,SEO,1,,M,19/11/1958,Alpha,,05/10/2024
228,0,0,0,0,0,0,,F,20/02/1959,Other,,20/02/2019
229,PL,Plymouth Office,0,400,HEO,0,03/01/2014,F,04/01/1954,Other,RETIREMENT,04/01/2014
230,0,0,0,0,0,0,,F,19/06/1960,Other,,19/06/2020
231,PL,PH CT6,0,400,EO,0,31/03/2017,F,23/01/1954,Other,RETIREMENT,23/01/2014
232,PL,Programme and Project Management,Transformation,1570,SEO,0.65,,F,26/05/1960,Other,,05/06/2026
233,WA,Land Registration Lawyers,Legal Services,1560,G7+,0.61,29/04/2021,M,08/10/1948,Alpha,RETIREMENT,29/04/2021
234,WA,Wales Office,0,550,SEO,0,29/05/2015,F,02/11/1954,Other,RETIREMENT,02/11/2014
235,WA,Registration Services,Operations,1470,HEO,0.53,,F,14/11/1957,Alpha,,05/10/2023
236,TF,Registration Services,Operations,1470,SEO,0.81,03/06/2018,F,03/07/1959,Alpha,RESIGNATION,05/05/2025
237,NM,Registration Services,Operations,1470,SEO,0.76,31/07/2019,F,24/05/1955,Alpha,RETIREMENT,05/04/2021
238,NM,Registration Services,Operations,1470,SEO,1,18/01/2019,M,12/01/1956,Alpha,RETIREMENT,05/12/2021
239,GL,Registration Services,Operations,1470,HEO,0.49,01/04/2020,M,01/04/1960,Alpha,RETIREMENT,05/02/2026
240,CV,Registration Services,Operations,1470,EO,0.49,,F,21/11/1960,Alpha,,05/06/2027
241,GL,Registration Services,Operations,1470,EO,0.45,,M,21/06/1961,Alpha,,05/05/2028
242,DM,Registration Services,Operations,1470,EO,0.49,28/02/2019,F,17/05/1958,Alpha,RETIREMENT,05/04/2024
243,CV,Registration Services,Operations,1470,EO,1,31/08/2018,M,06/07/1958,Alpha,RETIREMENT,05/06/2024
244,0,0,0,0,0,0,,M,24/06/1957,Other,,24/06/2017
245,DM,Customer Support Centre,Operations,1430,HEO,0.92,,F,25/04/1959,Alpha,,05/03/2025
246,0,0,0,0,0,0,,M,31/01/1955,Other,,31/01/2015
247,DM,Registration Services,Operations,1470,AO,1,06/11/2018,F,30/11/1953,Alpha,RETIREMENT,06/11/2018
248,HL,REG LEGAL SERVICES,0,1527,SCS1,0,30/11/2016,M,01/12/1951,Other,RETIREMENT,01/12/2011
249,NM,Registration Services,Operations,1470,HEO,1,27/04/2018,F,27/04/1956,Alpha,RETIREMENT,05/03/2022
250,BR,Registration Services,Operations,1470,HEO,1,30/09/2020,F,13/04/1956,Alpha,RETIREMENT,05/03/2022
251,BR,Registration Services,Operations,1470,EO,0.49,,F,22/05/1961,Alpha,,05/04/2028
252,BR,Registration Services,Operations,1470,SEO,0.43,29/04/2020,M,03/01/1958,Alpha,RETIREMENT,05/11/2023
253,CV,Coventry Office,0,75,HEO,0,15/01/2016,M,20/05/1958,Other,RETIREMENT,20/05/2018
254,WA,Registration Services,Operations,1470,HEO,0.49,,M,11/12/1958,Alpha,,05/11/2024
